Categoria,Metrica (ES),Metrica (codigo),Formula,Tabla Fuente,Columna Fuente,Traduccion / Que significa
Alcance (aplica a todo),,,"ORDER_STATUS = 'DELIVERED'; STORE_ID IN (9,14); fecha = DELIVERED_DATE (o SHIPPING_SLOT_LATEST si falta)",MX_JUSTO_PROD.ODS_MS_ORDERS.MAIN_ORDER,-,Universo de ordenes sobre el que se calculan todas las metricas de este documento.
1. Cantidad base,Costo total,cost_total,"(COST_NOMINAL / 1000 si MEASUREMENT_UNIT es GRAMOS, si no COST_NOMINAL) x QUANTITY",ODS_MS_PRICING.PRICE_PRODUCT_FULFILLED_PER_ITEM,COST_NOMINAL,"Lo que le costo a Justo esa linea. Productos por peso vienen en costo por kilo, por eso se divide entre 1000."
1. Cantidad base,Precio regular (sin descuento),regular_price,REGULAR_PRICE_TOTAL,PRICE_PRODUCT_FULFILLED_PER_ITEM,REGULAR_PRICE_TOTAL,Precio de lista de esa linea antes de cualquier descuento o campana.
1. Cantidad base,"Precio final (con descuento, con impuestos)",final_price,FINAL_PRICE_TOTAL,PRICE_PRODUCT_FULFILLED_PER_ITEM,FINAL_PRICE_TOTAL,Lo que realmente pago el cliente: ya con descuento (si hubo) y con IVA/IEPS incluidos.
1. Cantidad base,"Precio pretax (con descuento, sin impuestos)",pretax_price,PRETAX_TOTAL,PRICE_PRODUCT_FULFILLED_PER_ITEM,PRETAX_TOTAL,Igual al precio final pero sin IVA/IEPS. Base 'limpia' que usa el Pure Margin.
2. Derivado,Descuento aplicado ($),discount_amount,SUM(precio_regular) - SUM(precio_final),derivado de PRICE_PRODUCT_FULFILLED_PER_ITEM,"REGULAR_PRICE_TOTAL, FINAL_PRICE_TOTAL","Cuanto se dejo de cobrar por campanas, cupones o estrategia de precio."
2. Derivado,Descuento aplicado (%),discount_pct,discount_amount / SUM(precio_regular) x 100,derivado,-,El descuento como porcentaje del precio de lista total.
3. Margen,Margen SIN descuento (%),margin_sin_descuento_pct,(SUM(precio_regular) - SUM(costo_total)) / SUM(precio_regular) x 100,derivado,-,Que tan rentable es el producto si nadie usara descuento. Margen de lista.
3. Margen,Margen CON descuento / GP (%),margin_con_descuento_pct,(SUM(precio_final) - SUM(costo_total)) / SUM(precio_final) x 100,derivado,-,"Lo que realmente se gano: precio ya con descuento e impuestos, contra costo. Es el 'GP%' del daily report."
3. Margen,Pure Margin (%),pure_margin_rate,(SUM(precio_pretax) - SUM(costo_total)) / SUM(precio_pretax) x 100,derivado,-,"Margen real sin el ruido de IVA/IEPS. Metrica del header del daily report. Si cae mas rapido que el margen con descuento, el peso de impuestos/mix de categorias esta cambiando."
"4. Fuente de costo (ACTUAL, recomendada)",Costo - metodo actual,COST_NOMINAL,Costo capturado al momento exacto del fulfillment de la linea,ODS_MS_PRICING.PRICE_PRODUCT_FULFILLED_PER_ITEM,COST_NOMINAL,"Verificado 2026-07-08: al dia, MAX(CREATED_AT) = mismo dia. Fuente recomendada mientras la otra siga stale."
"4. Fuente de costo (EN DISPUTA, motor de precios)",Costo - metodo motor,NOMINAL_COST,Evento de catalogo mas reciente con CREATED_AT <= fecha de la orden,ODS_MS_PRICING_V.PRODUCT_PRICE_CATALOG_EVENT,NOMINAL_COST,ADVERTENCIA: pipeline detenido desde ~2026-06-26 (0 filas nuevas en 7 dias). Para SKUs de stores 9/14 el evento mas reciente es del 2026-06-04. Usarlo infla el Pure Margin +6.22 pts artificialmente (probado sobre el 2026-07-07).
5. Motor de precios (no comparable 1 a 1),Margen objetivo del motor (%),MARGIN_PERCENTAGE,precio_pretax_motor = costo / (1 - margen_objetivo/100),ODS_MS_PRICING_V.PRODUCT_PRICE_CATALOG_EVENT,MARGIN_PERCENTAGE,"NO es margen realizado, es el margen objetivo que uso el motor para fijar el precio de un SKU en un momento dado, se haya vendido o no. No comparar directo contra Pure Margin."
6. GP - calculo completo paso 1,Costo efectivo por linea (con backfill),cost_total_adj,"SI MEASUREMENT_UNIT es GRAMOS:
  SI order_date < 2025-10-21 Y (COST_NOMINAL es NULL o 0):
      cost_total_adj = (cost_at_event / 1000) x QUANTITY
  SI NO:
      cost_total_adj = (COST_NOMINAL / 1000) x QUANTITY
SI NO es gramos: mismo patron sin dividir entre 1000",PRICE_PRODUCT_FULFILLED_PER_ITEM + PRODUCT_PRICE_CATALOG_EVENT (solo backfill),"COST_NOMINAL, cost_at_event","COST_BACKFILL_CUTOFF = 2025-10-21. Antes de esa fecha, si un producto por gramo no tiene COST_NOMINAL capturado (NULL o 0), se rellena con el evento de catalogo mas cercano <= la fecha de la linea (ev.CREATED_AT <= line_ts, el mas reciente). Despues del cutoff, o si COST_NOMINAL si existe, se usa COST_NOMINAL siempre. Este backfill es la UNICA situacion donde el metodo actual toca PRODUCT_PRICE_CATALOG_EVENT."
6. GP - calculo completo paso 2,GP por linea ($),gp_line_amt,gp_line_amt = FINAL_PRICE_TOTAL - cost_total_adj,derivado,-,Ganancia en pesos de esa linea especifica: precio final (ya con descuento e impuestos) menos el costo efectivo del paso 1.
6. GP - calculo completo paso 3,Gross Profit total ($),gross_profit,gross_profit = SUM(gp_line_amt) sobre todas las lineas del periodo/departamento,derivado,-,El monto en pesos que se muestra en el header del daily report y en la tabla por departamento.
6. GP - calculo completo paso 4,GP rate / GP% ,gp_rate,gp_rate = gross_profit / SUM(final_sales_line) x 100,derivado,-,"final_sales_line = FINAL_PRICE_TOTAL de cada linea. Es el mismo numero que 'Margen CON descuento' de la fila 3 de este documento -- incluye el backfill del paso 1, a diferencia de la formula simplificada usada en los CSV de validacion de Finanzas (que usa COST_NOMINAL sin backfill)."
6. GP - calculo completo paso 5,GP por orden ($),gp_per_order,gp_per_order = gross_profit / COUNT(DISTINCT ORDER_ID),derivado,-,"Cuanto genero cada orden en promedio, en pesos de ganancia (no de venta)."
7. Nota de consistencia,Diferencia entre kpi_global.sql y los CSV de Finanzas,-,"kpi_global.sql usa cost_total_adj (CON backfill de gramos pre-2025-10-21). Los CSV validacion_margenes_finanzas_*.csv usan COST_NOMINAL directo (SIN backfill), por simplicidad.",-,-,"Para Mayo-Julio 2026 esto no debería importar (todas las ordenes son posteriores al cutoff del 2025-10-21), pero si en algun momento se corre esta validacion sobre datos anteriores a esa fecha, los dos metodos van a dar numeros ligeramente distintos para productos vendidos por gramo. Pendiente: unificar si hace falta."
